"outcome","outcome_label","feature_name","coefficient_direction","final_standardized_coef","sign_agreement_count","stability_class","outcome_evidence","r1_enrichment_preserved","auroc_global_ordering_flag","design_hypothesis_grade","grade_label","main_figure_display","main_figure_rank","narrative_highlight_eligible","core_practical_applications_eligible","feature_level_locked_validation","causal_recommendation"
"has_any_outer_imagery_observed","Any outer-package affective imagery","center_edge_energy_fraction","negative","-0.17533328753935107","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","character_mascot_score","positive","0.1919389896779317","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","colorfulness_hs","positive","0.01972654096974579","3","unstable","E2","True","below_half","D","do_not_highlight","False","","False","False","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","cool_hue_fraction","positive","0.09058436327570776","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","dense_ornament_score","positive","0.7060870491456278","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","True","3","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","edge_density","negative","-0.8339447779748175","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","True","2","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","edge_strength_mean","positive","0.643477059038845","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","True","4","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","floral_illustration_score","positive","0.32364006531198797","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","fruit_motif_score","positive","0.16805956781441497","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","geometric_layout_score","positive","0.4952816412536643","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","True","6","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","grayscale_entropy","negative","-0.14928370182743658","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","heritage_ornament_score","negative","-0.02911962178782896","4","mostly_stable","E2","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","high_saturation_fraction","positive","0.11913630548995463","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","hue_entropy","negative","-0.07695979246759253","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","image_dominant_score","positive","0.0987294062213471","4","mostly_stable","E2","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","ingredient_photography_score","negative","-0.2533364788323642","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","kraft_craft_score","positive","0.12300488802181185","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","leaf_herb_illustration_score","negative","-0.28905470134588135","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","lr_symmetry","negative","-0.017734430779644646","3","unstable","E2","True","below_half","D","do_not_highlight","False","","False","False","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","luminance_mean","negative","-0.005937243277415982","3","unstable","E2","True","below_half","D","do_not_highlight","False","","False","False","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","luminance_p10","negative","-0.5854838564210413","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","True","5","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","luminance_p90","positive","0.39715141903714485","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","True","7","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","luminance_std","negative","-0.265084594692612","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","near_black_fraction","positive","0.05802183187480717","4","mostly_stable","E2","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","near_white_fraction","negative","-0.059347870304508256","4","mostly_stable","E2","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","pale_pastel_palette_score","negative","-0.112732603320416","4","mostly_stable","E2","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","quadrant_edge_imbalance","negative","-0.06077664433196058","4","mostly_stable","E2","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","ribbon_bow_box_cues_score","negative","-0.09060680315466496","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","saturation_mean","negative","-0.12800736913825578","4","mostly_stable","E2","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","saturation_std","negative","-0.3353203852550827","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","sparse_layout_score","negative","-1.1910837348852517","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","True","1","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","tb_symmetry","positive","0.314107937097656","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","transparent_window_score","positive","0.09207828438977277","4","mostly_stable","E2","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","typography_dominant_score","negative","-0.19642287488435664","4","mostly_stable","E2","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","vivid_multicolor_palette_score","positive","0.3732603201418176","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","True","8","True","True","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","warm_hue_fraction","positive","0.13427931491255063","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","center_edge_energy_fraction","negative","-0.17338552328262452","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","character_mascot_score","positive","0.09673616568371361","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","colorfulness_hs","positive","0.0484449454919506","4","mostly_stable","E2","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","cool_hue_fraction","positive","0.22551127538134746","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","dense_ornament_score","positive","0.47191234287599404","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","edge_density","negative","-0.706720593183189","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","True","3","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","edge_strength_mean","positive","0.55419183580825","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","True","6","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","floral_illustration_score","positive","0.6281588004206307","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","True","5","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","fruit_motif_score","positive","0.1651922283187626","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","geometric_layout_score","positive","0.73884374260686","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","True","2","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","grayscale_entropy","negative","-0.3833034205329469","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","heritage_ornament_score","positive","0.051354249109889144","4","mostly_stable","E2","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","high_saturation_fraction","positive","0.16326869167548988","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","hue_entropy","negative","-0.0720775544892689","4","mostly_stable","E2","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","image_dominant_score","positive","0.08837488281272711","3","unstable","E2","True","below_half","D","do_not_highlight","False","","False","False","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","ingredient_photography_score","negative","-0.49027871676480783","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","True","8","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","kraft_craft_score","negative","-0.08921228895354172","4","mostly_stable","E2","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","leaf_herb_illustration_score","positive","0.023742766119111018","3","unstable","E2","True","below_half","D","do_not_highlight","False","","False","False","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","lr_symmetry","positive","0.03334066973431988","4","mostly_stable","E2","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
